"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2015,1,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1369.00,322.00,73.31,8.44,136.78,0.00,103.47,86.00,3.00,20055.00,5273.00,999.00,6358.00,0.00,7425.00,
2015,1,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",2633.00,445.00,157.17,25.21,107.82,1.36,153.43,41.00,4.00,25261.00,10914.00,1460.00,3293.00,42.00,9552.00,
2015,1,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",12466.00,2463.00,645.29,64.66,765.92,4.14,982.99,203.00,6.00,167313.00,66714.00,5055.00,24137.00,123.00,71284.00,
2015,1,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",100.00,22.00,11.53,0.00,6.48,0.00,4.00,3.00,0.00,1776.00,1207.00,0.00,188.00,0.00,381.00,
2015,1,"AA","American Airlines Inc.","HNL","Honolulu, HI: Honolulu International",169.00,50.00,28.69,0.00,15.04,0.00,6.27,0.00,4.00,4175.00,2602.00,0.00,523.00,0.00,1050.00,
2015,1,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",876.00,200.00,59.98,10.44,73.98,0.14,55.46,15.00,0.00,11993.00,3108.00,761.00,3394.00,21.00,4709.00,
2015,1,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",397.00,87.00,42.03,0.12,18.07,0.00,26.78,1.00,1.00,4666.00,2481.00,8.00,625.00,0.00,1552.00,
2015,1,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",862.00,225.00,65.51,17.84,67.48,0.00,74.17,53.00,1.00,11123.00,3067.00,1079.00,2639.00,0.00,4338.00,
2015,1,"AA","American Airlines Inc.","ONT","Ontario, CA: Ontario International",112.00,21.00,9.77,0.62,0.00,0.00,10.61,1.00,0.00,1078.00,394.00,88.00,0.00,0.00,596.00,
2015,1,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",930.00,183.00,71.31,11.53,51.72,0.00,48.44,20.00,3.00,8962.00,3633.00,693.00,1953.00,0.00,2683.00,
